Globicom_6236                                                         ,,Relationship Agreement,18-November-2008,,Commission 70% <BR> 30 days written notice.<BR>,
Groupon NDA                                                           ,,NDA,07-July-2015,,,
GTA Hotels_17451                                                      ,,API Partnership,20-January-2010,,Commission 70% <BR> 30 days written notice.<BR>,
HC Priceline Amendment                                         ,,Amendment,20-October-2015,,,
Hilton WorldWide  ,,Master Services Agreement,04-February-2014,,,
Hotelicia_9865                                                        ,,API Partnership,02-February-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Hotelium,,Strategic Partnership Agreement,01-April-2014,,,
Hotelnjoy,,Amendment,30-October-2015,,,
Hotelpass                          ,,Partnership Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,
Hotels At Ease_11013                                                  ,,Partnership Agreement,08-June-2008,,Commission 70% <BR> 30 days written notice.<BR>,
HungryHotels_6082                                                     ,,Partnership Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,
Insidr_9685                                                           ,,API Partnership,10-September-2008,,Commission 70% <BR> 30 days written notice.<BR>,
Interactive Marketing_13600                                           ,,API Partnership,18-June-2009,,Commission 70% <BR> 30 days written notice.<BR>,
ixigo_7603                                                            ,,OCR Unrecognisable,,,,
Kelkoo                                                                ,,Affiliate Agreement,29-November-2013,,Commission 70% <BR> 30 days written notice.<BR>,
Laterooms,,Partnership Agreement,27-October-2014,,Commission 70% <BR> 30 days written notice.<BR>,
Liligo                                                                ,,Relationship Agreement,11-May-2009,,Syndication<P>14.1    Both parties agree that the Affiliate has the right to make the Company’s technology and functionality available to 3rd parties (“3rd Party Sites”). The Affiliate’s intent of doing so for every 3rd Party Site must be notified in advance to Company and the 3rd Party Site must be identified to the Company (site name and URL).,
Lyno Media_10102                                                      ,,Relationship Agreement,28-May-2009,,"Commission 70% <BR> 30 days written notice.<BR><P>Under the advanced configuration option, the Partner agrees to pay the Company a monthly fee (USD) based on the following formula:<P>Total monthly fee = (TNR - FR) * RFEE<P>Total Number of monthly Redirections via the advanced commission configuration option (TNR)<P>Number of Free monthly Redirections via the advanced commission configuration option (FR) = 10,000.<P>Fee for each redirection (RFEE) = $0.15USD<P>",
MajorNetworks_6264                                                    ,,API Partnership,11-May-2009,,Commission 70% <BR> 30 days written notice.<BR>,
MalaysiaTravel_18199                                                  ,,API Partnership,04-February-2010,,Commission 70% <BR> 30 days written notice.<BR>,
Markt Control Multimedia Verlag GmbH & Co KG_7285                     ,,API Partnership,,,Commission 70% <BR> 30 days written notice.<BR>,
Mobile Data Solutions_12590                                           ,,API Partnership,23-February-2010,,Commission 70% <BR> 30 days written notice.<BR>,
Momentum Design Lab_8342                                              ,,API Partnership,11-March-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Momondo                                                               ,,Affiliate Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,
Multimedia Vuorinen Oy_6957                                           ,,Affiliate Agreement,13-October-2010,,Commission 70% <BR> 30 days written notice.<BR>,
Nijman Holding_7728                                                   ,,API Partnership,28-July-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Elvoline ,,Novation and Assignment,30-March-2016,,,
Opportuno_15825                                                       ,,API Partnership,11-February-2010,,Commission 70% <BR> 30 days written notice.<BR>,
Ostrovok   ,,Distribution Partnership,04-March-2016,,,
PlanetWare_13123                                                      ,,API Partnership,27-June-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Preisvergelich                                                        ,,Affiliate Agreement,12-October-2012,,Commission 70% <BR> 30 days written notice.<BR>,
Recruit Jalan                   ,,Affiliate Agreement,05-September-2014,,Auto-Termination in 3 months<BR>Japan Commercial Arbitration <BR> Japan Law,
Reservationz_18026                                                    ,,API Partnership,04-February-2010,,Commission 70% <BR> 30 days written notice.<BR>,
Ryanair                                                               ,,Partner Marketing Agreement,20-December-2011,,,
Saber_19045                                                           ,,API Partnership,12-March-2010,,Commission 70% <BR> 30 days written notice.<BR>,
SearchEmpire_10435                                                    ,,API Partnership,03-September-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Signed Hilton iProspect IO as of 18 March 2014                        ,,Advertising Agreement,,,"The terms and conditions of the IAB/4A's Standard Terms and Conditions for Internet Advertising for Media Buys One Year or Less Version 3,0 located at http://www.iab,net/inedia/file/IAB_AAAAs_v_3_0_Education_20[)91215_FINAL.pdf shall govern the relationship between the undersgined parties.<P>3rd Party reporting system is Doubleclick. To be customized hy campaign. <P>Frequency Capping, Only one ad on the page, US only, DoubleVerify, etc)",
Hotel Quickly,,Distribution Partnership,30-July-2015,,,
SimonSeeks_19537                                                      ,,Affiliate Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,
Skoosh_19929                                                          ,,OCR Unrecognisable,,,,
SmallBlockMedia_15853                                                 ,,API Partnership,16-December-2009,,Commission 70% <BR> 30 days written notice.<BR>,
StealthCompany_6357                                                   ,,Partnership Agreement,21-June-2008,,Commission 70% <BR> 30 days written notice.<BR>,
TekSymmetry_12390                                                     ,,API Partnership,16-March-2009,,,
TradingMotion_13193                                                   ,,Relationship Agreement,28-May-2009,,Commission 70% <BR> 30 days written notice.<BR>,
TravDeluxe_12731                                                      ,,API Partnership,17-June-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Travelclick TCK  1 19May2016              ,,Addendum,19-May-2009,,,
Travelmarket_10371                                                    ,,API Partnership,19-January-2010,,Commission 70% <BR> 30 days written notice.<BR>,
Tripfriend_15868                                                      ,,API Partnership,11-February-2010,,Commission 70% <BR> 30 days written notice.<BR>,
TripWolf_9097                                                         ,,API Partnership,10-September-2008,,Commission 70% <BR> 30 days written notice.<BR>,
Trivago_6733                                                          ,,API Partnership,15-February-2010,,Commission 70% <BR> 30 days written notice.<BR>,
TrprMedia_18486                                                       ,,API Partnership,11-February-2010,,Commission 70% <BR> 30 days written notice.<BR>,
TSM,,Amendment,28-June-2012,,,
TSM                                                                   ,,Affiliate Agreement,03-April-2012,,Commission 70% <BR> 30 days written notice.<BR>,
Turigo_8160                                                           ,,API Partnership,03-June-2009,,Commission 70% <BR> 30 days written notice.<BR>,
UEEEU_12453                                                           ,,API Partnership,12-March-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Unister                                                               ,,Affiliate Agreement,27-September-2012,,Commission 70% <BR> 30 days written notice.<BR>,
Survey Monkey                                           ,,Data Processing Addendum,,,,
Villien & Linnet_12349                                                ,,Relationship Agreement,20-March-2009,,Commission 70% <BR> 30 days written notice.<BR>,
WeekendCompany_8484                                                   ,,Relationship Agreement,31-July-2009,,Commission 70% <BR> 30 days written notice.<BR>,
WingBus_7635                                                          ,,Partnership Agreement,26-June-2008,,Commission 70% <BR> 30 days written notice.<BR>,
Yapta_6707                                                            ,,API Partnership,17-September-2009,,Commission 70% <BR> 30 days written notice.<BR>,
Zoover_20030                                                          ,,Relationship Agreement,22-April-2012,,Commission 70% <BR> 30 days written notice.<BR>,
